seller_id,seller_city,seller_state,seller_region,n_orders,n_products,revenue
0015a82c2db000af6aaaf3ae2ecb0532,santo andre,SP,Sudeste,3,1,2685.0
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,Sudeste,195,11,24487.03
002100f778ceb8431b7a1020ff7ab48f,franca,SP,Sudeste,50,24,1216.6
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,Sudeste,144,77,17564.72
00720abe85ba0859807595bbf045a33b,guarulhos,SP,Sudeste,13,9,1007.5
00ab3eff1b5192e5f1a63bcecfee11c8,sao paulo,SP,Sudeste,1,1,98.0
00d8b143d12632bad99c0ad66ad52825,belo horizonte,MG,Sudeste,1,1,86.0
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,Sudeste,135,23,20260.0
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,Sul,103,19,12684.9
010543a62bd80aa422851e79a3bc7540,sao paulo,SP,Sudeste,2,1,1416.0
010da0602d7774602cd1b3f5fb7b709e,sao bernardo do campo,SP,Sudeste,1,1,849.5
011b0eaba87386a2ae96a7d32bb531d1,pompeia,SP,Sudeste,1,1,99.98
01266d4c46afa519678d16a8b683d325,curitiba,PR,Sul,3,3,90.25
013900e863eace745d3ec7614cab5b1a,curitiba,PR,Sul,23,19,1619.7
014c0679dd340a0e338872e7ec85666a,timoteo,MG,Sudeste,14,10,7058.0
014d9a685fd57276679edd00e07089e5,maringa,PR,Sul,11,3,729.88
0176f73cc1195f367f7b32db1e5b3aa8,ibitinga,SP,Sudeste,37,18,4643.2
01bcc9d254a0143f0ce9791b960b2a47,uruacu,GO,Centro-Oeste,10,3,1393.21
01c97ebb5cdac52891c0ed1c37ba0012,catanduva,SP,Sudeste,9,3,577.5
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,Sul,57,19,8696.3
01ed254b9ff8407dfb9d99ba1e17d923,mogi das cruzes,SP,Sudeste,5,2,1465.99
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,Sudeste,31,12,1208.0
01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,Sul,128,21,14802.53
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,Sul,238,56,31397.7
0249d282d911d23cb8b869ab49c99f53,sao paulo,SP,Sudeste,11,4,393.0
024b564ae893ce8e9bfa02c10a401ece,sao paulo,SP,Sudeste,2,2,706.4000000000001
02b72cdeb9cfcc429f1af6f4e3f3b737,ibitinga,SP,Sudeste,4,3,522.65
02c988090b766852e088c69d7fb3b551,americana,SP,Sudeste,12,10,1564.3700000000001
02d35243ea2e497335cd0f076b45675d,natal,RN,Nordeste,14,3,5794.0
02dcd3e8e25bee036e32512bcf175493,contagem,MG,Sudeste,13,7,1341.9
02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,Sudeste,21,17,5264.19
02f5837340d7eb4f653d676c7256523a,curitiba,PR,Sul,30,3,3883.05
02f623a8eb246f3c5f7c2f96462654e6,botucatu,SP,Sudeste,44,23,6378.0
0307f7565ff85b299b6e5ef162b1b1a9,sao jose do rio preto,SP,Sudeste,6,6,4711.9
0336182e1b3e92f029d5354832045fdf,ibitinga,SP,Sudeste,1,2,29.8
034b9387752bfa309f350a70cd45ffa3,blumenau,SC,Sul,8,2,96.0
038b75b729c8a9a04b0d07cba7eabe86,sao jose dos campos,SP,Sudeste,2,1,467.0
039b29ff3b3473435d0cd59040575de9,ribeirao pires,SP,Sudeste,9,7,114.9
039e6ad9dae79614493083e241147386,sao paulo,SP,Sudeste,5,4,12925.0
03a2a6dcbe45d639c4dc2a0d24769c40,maua,SP,Sudeste,9,7,1078.41
03bd479e1d9484cdb14104d3023f7321,uberlandia,MG,Sudeste,3,3,359.70000000000005
0417b067eeab773d2f7061a726dc477f,sao bento do sul,SC,Sul,13,11,1859.18
042573af89b6d931f672efaf789d8358,sorocaba,SP,Sudeste,3,3,413.48
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,Sul,92,20,58991.8
0432ead42b6c8a0bdf68154add917fdf,maua,SP,Sudeste,82,53,7574.400000000001
